ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;
Date: 15.06.2022;;;;
Start time: 13:15:12;;;;
Stop time: 13:15:46;;;;
Overruns: 0  Errorframes: 0                                          ;;;;
Baudrate: 250 kbit/s;;;;
Time;Identifier (hex);Format;Flags;Data (hex)
00:15:27.461;20B;Std;;81 00 00 00
00:15:27.463;182;Std;;00 00 00 00 00 00 00 00
00:15:27.466;282;Std;;00 00 00 00 DC 00 D8 00
00:15:27.468;382;Std;;01 00 01 00 4F 50 00 00
00:15:27.470;482;Std;;00 00 FC FF 00 00 18 01
00:15:27.471;70F;Std;;5
00:15:27.472;1AE;Std;;00 00 00 00 00
00:15:27.472;183;Std;;E5 00 B9 00 FE 00 03 00
00:15:27.473;4AE;Std;;00 00 00 00 00 00 00 00
00:15:27.473;184;Std;;00 00 00 00 00 07 0F 01
00:15:27.474;1AF;Std;;00 00 00 00 00 00 00 00
00:15:27.474;283;Std;;01 00 05 00 00 00 00 00
00:15:27.475;2AF;Std;;00 00 00 00 00 00 00 00
00:15:27.475;188;Std;;00 02 00 00 00 02 01 57
00:15:27.476;3AF;Std;;00 00 00 00 00 00 00 00
00:15:27.477;383;Std;;00 00 00 00 00 00 00 00
00:15:27.479;483;Std;;00 00 00 00 00 00 00 00
00:15:27.483;284;Std;;31 02 E0 27 4A 20 11 00
00:15:27.493;384;Std;;AE 02 F8 01 F5 01 F7 01
00:15:27.502;189;Std;;00 00 00 00 00 00 00 00
00:15:27.503;484;Std;;00 00 00 00 00 00 00 00
00:15:27.505;289;Std;;00 00 00 00 C4 00 C1 00
00:15:27.505;702;Std;;5
00:15:27.507;389;Std;;01 00 01 00 4F 50 00 00
00:15:27.508;42E;Std;;11 00 00 00 C0 78 00 0E
00:15:27.508;52E;Std;;00 00 00 03 00 00 00 00
00:15:27.509;489;Std;;00 00 FB FF 00 00 22 01
00:15:27.511;18A;Std;;D9 00 A8 00 D7 00 03 00
00:15:27.512;1AD;Std;;0C 00 01 01 05 01 01 00
00:15:27.513;185;Std;;FD B3 49 F0 01 03 BB 33
00:15:27.513;28A;Std;;07 00 01 00 00 00 00 00
00:15:27.514;24B;Std;;00 00 00 00 00 00 00 00
00:15:27.515;24A;Std;;00 00 00 00 00 00 00 00
00:15:27.515;24C;Std;;00 00 00 00 00 00 00 00
00:15:27.516;38A;Std;;00 00 00 00 00 00 00 00
00:15:27.518;48A;Std;;00 00 00 00 00 00 00 00
00:15:27.523;285;Std;;01 00 90 42 81 00 00 01
00:15:27.531;2AD;Std;;00 00 00 00 00 00 00 00
00:15:27.532;3AD;Std;;00 00 00 00 00 00 00 00
00:15:27.532;2AE;Std;;00 00 00 00 00 00 00 00
00:15:27.533;385;Std;;00 00 00 00 00 00 00 00
