ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;;
Date: 15.06.2022;;;;;
Start time: 13:05:12;;;;;
Stop time: 13:05:48;;;;;
Overruns: 0  Errorframes: 0                                          ;;;;;
Baudrate: 250 kbit/s;;;;;
Time;Identifier (hex);Format;Flags;Data (hex);
00:05:27.117;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:27.117;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:27.118;384;Std;;C4 02 F8 01 F5 01 F7 01;
00:05:27.120;189;Std;;00 00 00 00 00 00 00 00;
00:05:27.123;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:27.125;389;Std;;01 00 01 00 4F 50 00 00;
00:05:27.127;489;Std;;00 00 FA FF 00 00 22 01;
00:05:27.128;484;Std;;00 00 00 00 00 00 00 00;
00:05:27.129;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:27.131;28A;Std;;07 00 01 00 00 00 00 00;
00:05:27.134;38A;Std;;00 00 00 00 00 00 00 00;
00:05:27.135;72D;Std;;5;
00:05:27.136;48A;Std;;00 00 00 00 00 40 00 00;
00:05:27.136;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:27.137;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:27.137;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:27.138;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:27.138;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:27.148;285;Std;;01 00 90 42 81 00 00 01;
00:05:27.155;1AE;Std;;00 00 00 00 00;
00:05:27.156;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:27.156;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:27.157;18F;Std;;00 20 05 00;
00:05:27.158;48F;Std;;01 00 00 00 00 00;
00:05:27.159;385;Std;;00 00 00 00 00 00 00 00;
00:05:27.159;42E;Std;;11 00 00 00 C0 78 00 0F;
00:05:27.163;188;Std;;00 02 00 00 00 02 01 27;
00:05:27.164;24B;Std;;00 00 00 00 00 00 00 00;
00:05:27.165;24A;Std;;00 00 00 00 00 00 00 00;
00:05:27.165;24C;Std;;00 00 00 00 00 00 00 00;
00:05:27.168;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:27.176;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:27.190;182;Std;;00 00 00 00 00 00 00 00;
00:05:27.192;282;Std;;00 00 00 00 DC 00 D9 00;
00:05:27.195;382;Std;;01 00 01 00 4F 50 00 00;
00:05:27.195;80;Std;;;
00:05:27.197;482;Std;;00 00 FD FF 00 00 17 01;
00:05:27.198;18B;Std;;01 00 00 00;
00:05:27.198;28B;Std;;21 00 F6 FF 15 00 5D 00;
00:05:27.199;29B;Std;;C0 FF BD FF C0 FF BD FF;
00:05:27.199;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:27.200;184;Std;;00 00 00 00 00 07 0F 01;
00:05:27.200;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:27.201;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:27.201;283;Std;;01 00 05 00 00 00 00 00;
00:05:27.203;383;Std;;00 00 00 00 00 00 00 00;
00:05:27.205;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:27.205;302;Std;;00 00 CF 18 F4 01 00 00;
00:05:27.206;483;Std;;00 00 00 00 00 00 00 00;
00:05:27.206;402;Std;;00 00 00 00 00 00 00 00;
00:05:27.207;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:27.208;309;Std;;00 00 CF 18 2C 01 00 00;
00:05:27.208;409;Std;;00 00 00 00 00 00 00 00;
00:05:27.209;204;Std;;00 00 00 00 00 00 00 00;
00:05:27.209;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:27.210;304;Std;;00 00 00 00 00 00 00 00;
00:05:27.210;212;Std;;00 00 00 00 00 00 00 00;
00:05:27.211;20F;Std;;00 04 04 04 01 00;
00:05:27.211;30F;Std;;56 D4 CE 02 DD 36;
00:05:27.211;20B;Std;;81 00 00 00;
00:05:27.212;22E;Std;;00 00 00 00 00 07 07 00;
00:05:27.217;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:27.217;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:27.219;384;Std;;C4 02 F8 01 F5 01 F7 01;
00:05:27.228;484;Std;;00 00 00 00 00 00 00 00;
00:05:27.230;189;Std;;00 00 00 00 00 00 00 00;
00:05:27.233;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:27.235;389;Std;;01 00 01 00 4F 50 00 00;
00:05:27.236;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:27.236;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:27.237;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:27.237;489;Std;;00 00 FA FF 00 00 22 01;
00:05:27.238;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:27.238;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:27.239;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:27.241;28A;Std;;07 00 01 00 00 00 00 00;
00:05:27.244;38A;Std;;00 00 00 00 00 00 00 00;
00:05:27.246;48A;Std;;00 00 00 00 00 00 00 00;
00:05:27.248;285;Std;;01 00 90 42 81 00 00 01;
00:05:27.249;701;Std;;5;
00:05:27.256;1AE;Std;;00 00 00 00 00;
00:05:27.256;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:27.257;18F;Std;;00 20 05 00;
00:05:27.257;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:27.258;28F;Std;;FF 1F 83 00 00 00;
00:05:27.258;714;Std;;5;
00:05:27.258;38F;Std;;00 00 01 03;
00:05:27.259;385;Std;;00 00 00 00 00 00 00 00;
00:05:27.260;42E;Std;;11 00 00 00 C0 78 00 10;
00:05:27.261;52E;Std;;02 00 F0 0F 11 00 00 00;
00:05:27.263;188;Std;;00 02 00 00 00 02 01 28;
00:05:27.265;24B;Std;;00 00 00 00 00 00 00 00;
00:05:27.265;24A;Std;;00 00 00 00 00 00 00 00;
00:05:27.266;24C;Std;;00 00 00 00 00 00 00 00;
00:05:27.268;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:27.276;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:27.277;70F;Std;;5;
00:05:27.278;187;Std;;00 00 00 00 00 00 00 00;
00:05:27.280;194;Std;;01 00 27 01 27 01 39 01;
00:05:27.280;494;Std;;3D 01 4D 01 0F 01 12 01;
00:05:27.281;394;Std;;03 00 03 00 07 00 00 00;
00:05:27.281;294;Std;;00 00 01 00 01 00 00 00;
00:05:27.297;80;Std;;;
00:05:27.299;184;Std;;00 00 00 00 00 07 0F 01;
00:05:27.300;18B;Std;;01 00 00 00;
